"locale","name","region","state","SA1_MAINCO","SA1_7DIGIT","SA2_MAINCO"
"adelaide","Adelaide","GCCSA","SA",40102100819,4100819,401021008
"adelaide","Adelaide","GCCSA","SA",40102100820,4100820,401021008
"adelaide","Adelaide","GCCSA","SA",40102100821,4100821,401021008
"adelaide","Adelaide","GCCSA","SA",40102100822,4100822,401021008
"adelaide","Adelaide","GCCSA","SA",40102100823,4100823,401021008
"adelaide","Adelaide","GCCSA","SA",40102100903,4100903,401021009
"adelaide","Adelaide","GCCSA","SA",40102100905,4100905,401021009
"adelaide","Adelaide","GCCSA","SA",40102100908,4100908,401021009
"adelaide","Adelaide","GCCSA","SA",40102100909,4100909,401021009
"adelaide","Adelaide","GCCSA","SA",40102100910,4100910,401021009
"adelaide","Adelaide","GCCSA","SA",40102100911,4100911,401021009
"adelaide","Adelaide","GCCSA","SA",40102100912,4100912,401021009
"adelaide","Adelaide","GCCSA","SA",40102100913,4100913,401021009
"adelaide","Adelaide","GCCSA","SA",40102100914,4100914,401021009
"adelaide","Adelaide","GCCSA","SA",40102100915,4100915,401021009
"adelaide","Adelaide","GCCSA","SA",40102100916,4100916,401021009
"adelaide","Adelaide","GCCSA","SA",40102100917,4100917,401021009
"adelaide","Adelaide","GCCSA","SA",40102100918,4100918,401021009
"adelaide","Adelaide","GCCSA","SA",40102100919,4100919,401021009
"adelaide","Adelaide","GCCSA","SA",40102101001,4101001,401021010
"adelaide","Adelaide","GCCSA","SA",40102101003,4101003,401021010
"adelaide","Adelaide","GCCSA","SA",40102101004,4101004,401021010
"adelaide","Adelaide","GCCSA","SA",40102101005,4101005,401021010
"adelaide","Adelaide","GCCSA","SA",40102101007,4101007,401021010
"adelaide","Adelaide","GCCSA","SA",40102101008,4101008,401021010
"adelaide","Adelaide","GCCSA","SA",40102101009,4101009,401021010
"adelaide","Adelaide","GCCSA","SA",40102101010,4101010,401021010
"adelaide","Adelaide","GCCSA","SA",40102101011,4101011,401021010
"adelaide","Adelaide","GCCSA","SA",40102101012,4101012,401021010
"adelaide","Adelaide","GCCSA","SA",40102101013,4101013,401021010
"adelaide","Adelaide","GCCSA","SA",40102101014,4101014,401021010
"adelaide","Adelaide","GCCSA","SA",40102101016,4101016,401021010
"adelaide","Adelaide","GCCSA","SA",40103101101,4101101,401031011
"adelaide","Adelaide","GCCSA","SA",40103101102,4101102,401031011
"adelaide","Adelaide","GCCSA","SA",40103101103,4101103,401031011
"adelaide","Adelaide","GCCSA","SA",40103101104,4101104,401031011
"adelaide","Adelaide","GCCSA","SA",40103101105,4101105,401031011
"adelaide","Adelaide","GCCSA","SA",40103101106,4101106,401031011
"adelaide","Adelaide","GCCSA","SA",40103101107,4101107,401031011
"adelaide","Adelaide","GCCSA","SA",40103101108,4101108,401031011
"adelaide","Adelaide","GCCSA","SA",40103101109,4101109,401031011
"adelaide","Adelaide","GCCSA","SA",40103101110,4101110,401031011
"adelaide","Adelaide","GCCSA","SA",40103101111,4101111,401031011
"adelaide","Adelaide","GCCSA","SA",40103101112,4101112,401031011
"adelaide","Adelaide","GCCSA","SA",40103101113,4101113,401031011
"adelaide","Adelaide","GCCSA","SA",40103101114,4101114,401031011
"adelaide","Adelaide","GCCSA","SA",40103101115,4101115,401031011
"adelaide","Adelaide","GCCSA","SA",40103101116,4101116,401031011
"adelaide","Adelaide","GCCSA","SA",40103101117,4101117,401031011
"adelaide","Adelaide","GCCSA","SA",40103101118,4101118,401031011
"adelaide","Adelaide","GCCSA","SA",40103101119,4101119,401031011
"adelaide","Adelaide","GCCSA","SA",40103101120,4101120,401031011
"adelaide","Adelaide","GCCSA","SA",40103101121,4101121,401031011
"adelaide","Adelaide","GCCSA","SA",40103101122,4101122,401031011
"adelaide","Adelaide","GCCSA","SA",40103101123,4101123,401031011
"adelaide","Adelaide","GCCSA","SA",40103101124,4101124,401031011
