"city","range_value","BIKE","CAR","PT","WALK","walk_time","bike_time","pt_time","car_time"
"Hobart",29.375,0,119.5,1.75,0,388.301387970919,134.552255897397,74.2609455893738,43.3692693354659
"Hobart",29.625,0,119.5,1.75,0,391.606080634501,135.697381479502,74.4935538454285,43.551632573681
"Hobart",29.875,0,119.5,1.75,0,394.910773298083,136.842507061608,74.7236942894214,43.7324452658256
"Hobart",30.125,0,96.875,2.125,0,398.215465961666,137.987632643713,74.9514059867824,43.9117271034962
"Hobart",30.375,0,96.875,2.125,0,401.520158625248,139.132758225819,75.1767271827289,44.0894974462565
"Hobart",30.625,0,96.875,2.125,0,404.82485128883,140.277883807924,75.3996953236801,44.2657753286056
"Hobart",30.875,0,96.875,2.125,0,408.129543952412,141.42300939003,75.6203470780032,44.440579466773
"Hobart",31.125,0,96.875,2.125,0,411.434236615995,142.568134972135,75.8387183561171,44.6139282653424
"Hobart",31.375,0,96.875,2.125,0,414.738929279577,143.713260554241,76.054844329975,44.7858398237115
"Hobart",31.625,0,96.875,2.125,0,418.043621943159,144.858386136346,76.2687594519502,44.9563319423919
"Hobart",31.875,0,96.875,2.125,0,421.348314606742,146.003511718452,76.4804974731443,45.1254221291531
"Hobart",32.125,0,82,3.125,0,424.653007270324,147.148637300557,76.6900914611402,45.2931276050157
"Hobart",32.375,0,82,3.125,0,427.957699933906,148.293762882663,76.8975738172173,45.4594653100985
"Hobart",32.625,0,82,3.125,0,431.262392597488,149.438888464768,77.1029762930504,45.6244519093221
"Hobart",32.875,0,82,3.125,0,434.567085261071,150.584014046874,77.3063300069076,45.7881037979752
"Hobart",33.125,0,82,3.125,0,437.871777924653,151.729139628979,77.507665459367,45.9504371071454
"Hobart",33.375,0,82,3.125,0,441.176470588235,152.874265211085,77.7070125485669,46.1114677090199
"Hobart",33.625,0,82,3.125,0,444.481163251818,154.01939079319,77.904400585007,46.2712112220588
"Hobart",33.875,0,82,3.125,0,447.7858559154,155.164516375296,78.0998583059151,46.4296830160448
"Hobart",34.125,0,60.625,1.375,0,451.090548578982,156.309641957401,78.2934138891943,46.586898217013
"Hobart",34.375,0,60.625,1.375,0,454.395241242564,157.454767539507,78.4850949669649,46.7428717120639
"Hobart",34.625,0,60.625,1.375,0,457.699933906147,158.599893121612,78.6749286387155,46.8976181540623
"Hobart",34.875,0,60.625,1.375,0,461.004626569729,159.745018703718,78.8629414840743,47.0511519662266
"Hobart",35.125,0,60.625,1.375,0,464.309319233311,160.890144285823,79.0491595752163,47.2034873466097
"Hobart",35.375,0,60.625,1.375,0,467.614011896894,162.035269867929,79.2336084889152,47.354638272476
"Hobart",35.625,0,60.625,1.375,0,470.918704560476,163.180395450034,79.4163133182551,47.5046185045768
"Hobart",35.875,0,60.625,1.375,0,474.223397224058,164.32552103214,79.5972986840098,47.6534415913261
"Hobart",36.125,0,53.5,2.25,0.375,477.52808988764,165.470646614245,79.7765887457041,47.8011208728804
